team,arena,freshness,saltiness,crunchiness,butter,presentation,total
Dallas Mavericks,American Airlines Center,5,5,4,5,5,24
Brooklyn Nets,Barclays Center,4,5,5,4,5,23
Miami Heat,American Airlines Arena,5,4,4,4,5,22
Portland Trailblazers,Moda Center,4,4,5,4,3,20
Sacramento Kings,Golden 1 Center,2,4,4,4,5,19
Toronto Raptors,Scotiabank Arena,3,4,3,4,4,18
Houston Rockets,Toyota Center,3,4,3,4,4,18
Oklahoma City Thunder,Chesapeake Energy Arena,4,3,4,4,3,18
Golden State Warriors,Oracle Arena,2,4,5,3,4,18
New York City Knicks,Madison Square Garden,3,2,4,4,4,17
Indiana Pacers,Bankers Life Fieldhouse,3,3,5,4,2,17
New Orleans Pelicans,Smoothie King Center,3,3,3,3,5,17
Minnesota Timberwolves,Target Center,2,5,4,3,3,17
Washington Wizards,Capital One Arena,4,3,3,4,3,17
Chicago Bulls,United Center,3,4,3,3,3,16
Utah Jazz,Vivint Smart Home Arena,2,5,4,3,2,16
Atlanta Hawks,State Farm Arena,3,5,4,3,1,16
San Antonio Spurs,AT&T Center,3,3,3,3,3,15
Philadelphia Sixers,Wells Fargo Center,4,2,4,2,2,14
Phoenix Suns,Talking Stick Resort Arena,3,3,3,3,2,14
Milwaukee Bucks,Fiserv Forum,2,2,3,4,2,13
Boston Celtics,TD Garden,3,3,2,3,2,13
Memphis Grizzlies,FedExForum,1,4,4,3,1,13
Orlando Magic,Amway Center,3,5,3,1,1,13
Denver Nuggets,Pepsi Center,3,2,3,2,3,13
Cleveland Cavaliers,Rocket Mortgage Fieldhouse,2,4,2,2,2,12
Detroit Pistons,Little Caesars Arena,1,4,2,3,2,12
Charlotte Hornets,Spectrum Center,1,2,2,2,4,11
Los Angeles Clippers/Lakers,Staples Center,2,1,3,1,3,10
